A_Abrir,A_Alto,A_Baixo,A_Fechar,A_Volume,A_Cap
5500,5600,5400,5600,1500,9800
5400,5500,5400,5500,1400,9600
5300,5400,5300,5400,1400,9500
5300,5400,5300,5300,1400,9300
5300,5400,5300,5300,1300,9400
5300,5400,5300,5300,1400,9400
5300,5400,5200,5300,1700,9400
5500,5600,5200,5300,1600,9300
5600,5700,5500,5500,1800,9700
5400,5700,5400,5600,1600,9900
5400,5500,5300,5400,1500,9600
5400,5400,5300,5400,1400,9400
5400,5400,5300,5400,1400,9500
5300,5400,5300,5400,1400,9400
5300,5400,5300,5300,1400,9400
5300,5300,5300,5300,1300,9300
5100,5300,5100,5300,1200,9300
5200,5200,5100,5100,1300,9000
5100,5200,5100,5200,1100,9200
5100,5200,5100,5100,1100,9000
5100,5200,5000,5100,1400,9000
5400,5400,5100,5100,1700,9000
5300,5500,5200,5400,1600,9400
5300,5300,5200,5300,1500,9200
5200,5400,5200,5300,1800,9400
5100,5300,5100,5200,1700,9200
5100,5300,5000,5100,1700,9000
5000,5100,5000,5100,1700,8900
5000,5100,4900,5000,1900,8700
4900,5400,4900,5000,2300,8800
4200,5000,4200,4900,2200,8600
4200,4200,4100,4200,1100,7400
4200,4200,4100,4200,1000,7300
4100,4300,4100,4200,1000,7300
4100,4200,4100,4100,1100,7300
4100,4100,4100,4100,1000,7200
4000,4100,4000,4100,1100,7200
4000,4000,4000,4000,1100,7100
4100,4100,4000,4000,1100,7000
4100,4100,4100,4100,1000,7100
4100,4100,4100,4100,1000,7200
4100,4100,4100,4100,1000,7100
4100,4100,4100,4100,1100,7100
4100,4100,4100,4100,1100,7200
4100,4100,4100,4100,1000,7200
4100,4100,4100,4100,1000,7100
4100,4100,4100,4100,900,7100
4000,4100,4000,4100,1000,7200
4000,4000,4000,4000,1000,7000
4000,4000,4000,4000,1100,7000
4000,4000,3900,4000,1000,6900
4000,4000,3900,4000,1000,6900
4000,4000,3900,4000,1100,6900
4000,4000,4000,4000,1000,7000
3900,4000,3900,4000,1100,7000
4000,4000,3900,4000,1100,6900
4000,4000,3900,4000,1000,6900
3900,4000,3900,4000,1000,6900
3800,4000,3800,3900,1100,6900
3900,3900,3800,3800,1000,6700
3900,3900,3900,3900,800,6800
3900,3900,3900,3900,800,6800
3900,4000,3900,3900,800,6800
3900,4000,3900,3900,900,6800
3900,3900,3800,3900,900,6800
3900,3900,3900,3900,800,6800
3900,4000,3900,3900,1000,6900
4200,4300,3800,3900,1100,6700
4000,4200,4000,4200,900,7300
4000,4100,4000,4100,800,7100
4100,4100,4000,4000,800,7000
4000,4100,4000,4000,900,7100
4000,4100,4000,4000,1000,7000
3700,4000,3700,4000,1000,6900
3700,3700,3700,3700,800,6500
3700,3700,3700,3700,600,6400
3700,3700,3700,3700,700,6400
3700,3700,3700,3700,700,6400
3700,3700,3700,3700,700,6400
3700,3700,3700,3700,700,6500
3700,3700,3700,3700,700,6400
3700,3700,3700,3700,700,6500
3700,3700,3700,3700,700,6500
3500,3700,3400,3700,800,6500
3500,3500,3400,3400,600,6000
3500,3500,3400,3500,600,6000
3500,3500,3500,3500,600,6100
3500,3500,3500,3500,600,6100
3600,3600,3500,3500,600,6100
3500,3600,3500,3600,600,6200
3500,3600,3500,3500,600,6200
3500,3600,3500,3500,600,6100
3500,3500,3500,3500,600,6200
3500,3500,3500,3500,600,6100
3600,3600,3500,3500,700,6100
3700,3700,3600,3600,600,6300
3600,3700,3600,3700,600,6400
3700,3700,3600,3600,600,6400
3600,3700,3600,3700,600,6400
3700,3700,3600,3600,600,6300
3600,3700,3600,3700,600,6400
3700,3700,3600,3600,600,6300
3800,3800,3600,3700,600,6300
3700,3800,3700,3800,600,6600
3700,3700,3700,3700,600,6400
3700,3700,3700,3700,600,6500
3700,3700,3700,3700,600,6400
3800,3800,3700,3700,600,6400
3600,3800,3600,3800,600,6500
3700,3700,3600,3600,500,6300
3700,3700,3700,3700,500,6400
3700,3800,3700,3700,600,6500
4100,4100,3700,3700,700,6500
4100,4100,4100,4100,600,7100
4100,4200,4000,4100,600,7100
4100,4100,4100,4100,600,7100
3900,4100,3900,4100,600,7200
3900,4000,3900,3900,600,6800
3900,3900,3800,3900,500,6800
4000,4000,3900,3900,500,6700
3900,4000,3900,4000,600,6900
3800,3900,3800,3900,500,6800
