AltaBaixa,A_Abrir,A_Alto,A_Baixo,A_Fechar,A_Volume,A_Cap
1,3678,3683,3638,3658,5003,63971
0,3652,3681,3622,3679,5464,64327
1,3632,3686,3625,3656,5394,63909
1,3705,3721,3620,3631,5537,63478
0,3558,3728,3553,3707,5651,64790
1,3659,3675,3545,3553,4681,62106
0,3687,3699,3654,3662,4778,63994
0,3675,3714,3654,3688,5539,64443
1,4035,4065,3660,3679,6874,64289
0,4032,4069,4023,4036,5116,70509
1,4029,4110,3997,4031,5307,70423
1,4079,4093,4021,4026,5229,70316
0,3837,4094,3827,4077,5597,71207
1,3852,3905,3837,3846,5138,67158
0,3833,3866,3784,3858,4848,67368
1,3932,3936,3827,3837,4530,66995
0,3850,3948,3818,3944,5245,68850
1,3747,3851,3708,3844,4324,67099
